SchoolName,Street,City,State,Zip,Address,PhysicalAddress,PhysicalCity,PhysicalState,PhysicalZip,Phone,Email,Website,Administrator,latitude,longitude
Emerald School of Excellence,4012 Central Avenue,Charlotte,NC,28205,"4012 Central Avenue Charlotte, NC 28205",4012 Central Avenue,Charlotte,NC,28205,(347) 698-3081,maryf@emeraldschool.org,www.emeraldschool.org,Mary  Ferreri,35.21526918,-80.77736409
Emerson Waldorf School,6211 New Jericho Road,Chapel Hill,NC,27516,"6211 New Jericho Road Chapel Hill, NC 27516",6211 New Jericho Road,Chapel Hill,NC,27516,(919) 967-1858,ceverhart@emersonwaldorf.org,www.emersonwaldorf.org,Colleen  Everhart,35.98768031,-79.07731658
Emmanuel Lutheran School,51 Wilburn Place,Asheville,NC,28806,"51 Wilburn Place Asheville, NC 28806",51 Wilburn Pl,Asheville,NC,28806,(828) 281-8182,principal@elcsmail.org,www.emmanuellutheranschool.org,Ms. Mark  Edmiston,35.58524508,-82.60305113
Empowered Minds Academy,311 Oakwood Ave,Durham,NC,27701,"311 Oakwood Ave Durham, NC 27701",311 Oakwood Ave,Durham,NC,27701,(919) 949-0147,valine@empoweredmindsacademy.org,www.empoweredmindsacademy.org,Valine  Zeigler,35.99464759,-78.89366329
Enlighten Legacy Learning,301 McCullough St Ste 400,Charlotte,NC,28262,"301 McCullough St Ste 400 Charlotte, NC 28262",2017 Bentley Place,Charlotte,NC,28205,(980) 335-1815,ADMIN@ELEGACYLEARNINGCENTERS.COM,elegacylearningcenters.com,Yacara  Mungo,35.30145656,-80.75639855
Ephesus Junior Academy,1225 North Cleveland Avenue,Winston-Salem,NC,27101,"1225 North Cleveland Avenue Winston-Salem, NC 27101",1225 North Cleveland Avenue,Winston-Salem,NC,27101,(336) 723-3140,pfulton03@yahoo.com,www.ejacademy.org,Patricia  Fulton,36.11044834,-80.2305774
Epiphany School of Charlotte,1000 E. Morehead Street,Charlotte,NC,28204,"1000 E. Morehead Street Charlotte, NC 28204",1000 E. Morehead St.,Charlotte,NC,28204,(704) 496-9942,cassie.jones@epiphanyschoolofcharlotte.com,www.epiphanyschoolcharlotte.com,Cassie  Jones,35.21292619,-80.84389902
Epiphany School of Global Studies,2301 Trent Road,New Bern,NC,28562,"2301 Trent Road New Bern, NC 28562",2301 Trent Road,New Bern,NC,28562,(252) 638-0122,dwang@epiphanyglobalschool.org,www.epiphanyglobalschool.org,Mr. David  Wang,35.102288,-77.07547395
Episcopal Day School,340 E. Massachusetts Avenue,Southern Pines,NC,28387,"340 E. Massachusetts Avenue Southern Pines, NC 28387",340 E. Massachusetts Ave.,Southern Pines,NC,28387,(910) 692-3492,eds@episcopalday.org,www.episcopalday.org,Jill  Connett,35.1695104,-79.3921568
Evolve Early Learning,5 A Woodlad Dr,Asheville,NC,28806,"5 A Woodlad Dr Asheville, NC 28806",NA,NA,NC,NA,(828) 575-5077,evolveearlylearning@gmail.com,NA,Corrie Hill Price,35.5719923,-82.62150989
Excel Christian Academy,734 Apple Street,Burlington,NC,27217,"734 Apple Street Burlington, NC 27217",NA,NA,NC,NA,(336) 226-8526,lcovington@ebenezerucc.com,NA,Dr. Frances Vanessa Diggs,36.10507219,-79.42898633
F.A.C.T. Day Treatment School,120 Henderson Drive,Jacksonville,NC,28540,"120 Henderson Drive Jacksonville, NC 28540",120 Henderson Drive,Jacksonville,NC,28540,(910) 346-3744,fact@mhfc.org,www.mhfc.org,Faith  Lane,34.76051228,-77.41704384
Faith Academy Christian School,2305 Elbon Drive,Winston-Salem,NC,27105,"2305 Elbon Drive Winston-Salem, NC 27105",2305 Elbon Drive,NA,NA,NA,(336) 986-5835,imas40@yahoo.com,NA,Ms. Denice  Davis,36.12031829,-80.21403697
Faith Assembly Christian Academy,3120 Fayetteville Street,Durham,NC,27707,"3120 Fayetteville Street Durham, NC 27707",3120 Fayetteville Street,Durham,NC,27707,(919) 687-2763,faca@facc-ministries.org,www.facadurham.org,Ayana  Garrison-Gaither,35.9623631,-78.90864553
Faith Baptist Christian School,6840 Wilson Grove Road,Charlotte,NC,28227,"6840 Wilson Grove Road Charlotte, NC 28227",6840 Wilson Grove Road,Charlotte,NC,28227,(704) 545-0937,fbcscharlotte@gmail.com,NA,Mrs. Amy  Rogerson,35.19591159,-80.68253189
Faith Christian Academy,904 Chipola Street,Kannapolis,NC,28083,"904 Chipola Street Kannapolis, NC 28083",904 Chipola Street,Kannapolis,NC,28083,(704) 935-5099,pcahoon@faithchurch.info,www.faithkannapolis.com,Rev. Paul  Cahoon,35.49439581,-80.60924669
Faith Christian Academy,247 NC Hwy 87,Burlington,NC,27217,"247 NC Hwy 87 Burlington, NC 27217",247 NC Hwy 87,Burlington,NC,27217,(336) 263-7642,carmen@faithca.com,www.faithca.com,Ms. Carmen  Bullard,36.11585675,-79.48081916
Faith Christian School,5449 Brookhaven Road,Ramseur,NC,27316,"5449 Brookhaven Road Ramseur, NC 27316",5449 Brookhaven Road,Ramseur,NC,27316,(336) 824-4156,school@faithramseur.org,www.faithramseur.org,Mr. Todd  Daniel,35.70815115,-79.63216668
Faith Christian School,1333 Faith Christian Drive,Rocky Mount,NC,27803,"1333 Faith Christian Drive Rocky Mount, NC 27803",1333 Faith Christian Dr.,Rocky Mount,NC,27803,(252) 443-3700,erik.harris@fcspatriots.com,www.fcspatriots.com,Mr. Erik  Harris,35.93028762,-77.84491447
Faith Education Academy,111 North Layton Avenue,Dunn,NC,28334,"111 North Layton Avenue Dunn, NC 28334",2082 Arrowhead Road  Dunn,Dunn,NC,28334,(910) 892-9900,feaacademy@yahoo.com,www.faitheducationacademync.com,Mrs. Teresa E. Jones,35.31026186,-78.61349988
Father Vincent Capodanno High School,4364 US HWY 1,Vass,NC,28394,"4364 US HWY 1 Vass, NC 28394",4364 US HWY 1,Vass,NC,28394,(910) 245-2246,joe.skillman@capodannohigh.org,www.capodannohigh.org,Frances  Klotz,35.23897542,-79.3032789
Fayetteville Academy,3200 Cliffdale Road,Fayetteville,NC,28303,"3200 Cliffdale Road Fayetteville, NC 28303",3200 CLIFFDALE ROAD,FAYETTEVILLE,NC,28303,(910) 868-5131,bfisher@fayacademy.org,www.fayacademy.org,N. Blair  Fisher,35.06199655,-78.94000762
Fayetteville Christian School,1422 Ireland Drive,Fayetteville,NC,28304,"1422 Ireland Drive Fayetteville, NC 28304",1422 Ireland Drive,Fayetteville,NC,28304,(910) 483-3905,sweldy@fayettevillechristian.com,www.fayettevillechristian.com,Mrs. Tammi  Peters,35.0378628,-78.94707304
Fayetteville Street Christian School,151 W. Pritchard Street,Asheboro,NC,27203,"151 W. Pritchard Street Asheboro, NC 27203",151 W. Pritchard Street,Asheboro,NC,27203,(336) 629-1383,officeadmin@fscspatriots.org,www.fscspatriots.org,Mr. Gary  Kidd,35.71745833,-79.81179078
Fearfully & Wonderfully Made Aca,2109 Dogwood Lane,Kinston,NC,28504,"2109 Dogwood Lane Kinston, NC 28504",717 Rosanne Drive Suite 2,Kinston,NC,28501,(252) 642-0030,amefford.fwm@gmail.com,NA,Andrea  Mefford,35.2897384,-77.6634503
Fellowship Baptist Academy,450 Muldee Street,Durham,NC,27703,"450 Muldee Street Durham, NC 27703",450 Muldee Street,Durham,NC,27703,(919) 596-9331,rickfinley59@yahoo.com,www.fbcofdurham.org,Dr. Rick  Finley,35.99482081,-78.86256137
Fellowship Christian Academy,7 East Drive,Jacksonville,NC,28546,"7 East Drive Jacksonville, NC 28546",7 East Dr,Jacksonville,NC,28546,(910) 346-2222,office@fbc-fca.com,www.fbc-fca.com,Rev. Robert  Wiedell,34.7400774,-77.35852835
Fellowship Christian Academy,1305 Hulsey Rd,Carthage,NC,28327,"1305 Hulsey Rd Carthage, NC 28327",1305 Hulsey Rd,Carthage,NC,28327,(910) 947-1412,nussbaumer@ncftoday.com,www.fellowshipchristianacademy.com,Paul L. Nussbaumer,35.32049718,-79.35390529
Fellowship Christian School,902 South Rocky River Rd,Monroe,NC,28110,"902 South Rocky River Rd Monroe, NC 28110",NA,NA,NA,NA,(704) 221-2785,fellowshipchristian2000@gmail.com,fellowshipchristians.com,Dr. Earl M. Griffin,34.96780115,-80.62061123
First Assembly Christian School,2500 Arnold Drive,Monroe,NC,28110,"2500 Arnold Drive Monroe, NC 28110",2500 Arnold Drive,Monroe,NC,28110,(704) 635-7262,firstagofmonroe@aol.com,NA,Rev. Steve  Hastings,35.01341281,-80.58352257
First Harvest Academy,1800 N Main st,High point,NC,27262,"1800 N Main st High point, NC 27262",1106 edinburgh dr,Jamestown,NC,27282,(336) 991-9000,Candace@firstharvestacademy.com,NA,Candace Colleen Hayes,35.9783159,-80.02036613
First Impressions Academy,6965 Nexus Court,Fayetteville,NC,28304,"6965 Nexus Court Fayetteville, NC 28304",6965 Nexus Court,Fayetteville,NC,28304,(910) 339-0524,firstimpressions@rocketmail.com,www.fiaprepschools.com,Ms. Christy  Pettit,35.03502735,-79.01399869
First Presbyter Weekday School,414 Sunset Rd NW,Wilson,NC,27893,"414 Sunset Rd NW Wilson, NC 27893",414 Sunset Rd NW,Wilson,NC,27893,(252) 243-3115,fpcschool@gmail.com,NA,Kathy  Maurice,35.73455762,-77.92370519
First Presbyterian School,1604 Arendell Street,Morehead City,NC,28557,"1604 Arendell Street Morehead City, NC 28557",1604 Arendell Street,Morehead City,NC,28557,(252) 247-2202,preschool@firstpresmhc.org,NA,Paula Johnson Stewart,34.72237504,-76.72412386
First Wesleyan Christian School,208-A South Church Street,Gastonia,NC,28054,"208-A South Church Street Gastonia, NC 28054",208-A South Church St,Gastonia,NC,28054,(704) 865-9823,office@fwcsfwcs.org,fwcsfwcs.org,Dr. Gina  Thornburg,35.26219791,-81.16825845
Five Oaks SDA School,4124 Farrington Road,Durham,NC,27707,"4124 Farrington Road Durham, NC 27707",4124 Farrington Road,Durham,NC,27707,(919) 493-5555,5oaks4him@gmail.com,www.fiveoaksschool.org,Steven  Champion,35.94260422,-78.98386826
Flaming Sword Christian Academy,3230 Legion Road,Hope Mills,NC,28348,"3230 Legion Road Hope Mills, NC 28348",3230 Legion Rd,Hope Mills,NC,28348,(910) 764-3500,wanda@flamingswordcampus.org,www.flamingswordcampus.org,Dr. Wanda  Hatmaker,35.0020786,-78.91774861
Fletcher Academy,400 Cedarview Court (upper School),Raleigh,NC,27609,"400 Cedarview Court (upper School) Raleigh, NC 27609",1116 N Blount Str  (Lower School),Raleigh,NC,27604,(919) 782-5082,patkinson@tfaraleigh.org,tfaraleigh.org,Paul  Atkinson,35.85659632,-78.6314238
Fletcher School,8500 Sardis Road,Charlotte,NC,28270,"8500 Sardis Road Charlotte, NC 28270",8500 Sardis Road,Charlotte,NC,28270,(704) 365-4658,info@thefletcherschool.org,www.thefletcherschool.org,Dr. Tara  Terry,35.12927918,-80.75710501
Floyd Christian School,3652 Price Road,Eden,NC,27288,"3652 Price Road Eden, NC 27288",NA,NA,NC,NA,(336) 623-5854,floydchristianschool@gmail.com,NA,Tania Kallam Martin,36.51235255,-79.8538014
Follow the Child Montessori School,3601 Harden Road,Raleigh,NC,27607,"3601 Harden Road Raleigh, NC 27607",3601 Harden rd,Raleigh,NC,27607,(919) 755-1150,rebecca@followthechild.org,www.followthechild.org,Ms. Rebecca Phipps McGrail,35.81303092,-78.70102497
Footprints Learning & Leadership Academy,1100 Elliot Rd,Charlotte,NC,28216,"1100 Elliot Rd Charlotte, NC 28216",1100 Elliott Rd,Charlotte,NC,28216,(704) 900-3127,kristinj@homeschoolingfootprints.com,homescholingfootprints.com,Kristin  Jackson,35.30976226,-80.91952096
Foundations Christian Academy,53 Foundations Rd.,Dunn,NC,28334,"53 Foundations Rd. Dunn, NC 28334",1560 Stewart Road,Dunn,NC,28334,(910) 892-8761,dowilson@foundations.edu,NA,Dr. Douglas  Wilson,35.35017087,-78.55547196
Franciscan Catholic School,10000 St. Francis Drive,Raleigh,NC,27613,"10000 St. Francis Drive Raleigh, NC 27613",10000 St. Francis Drive,Raleigh,NC,27613,(919) 534-4840,dawn.smith@franciscanschool.org,www.franciscanschool.org,Ms. DawnMarie  Smith,35.91822687,-78.74153091
Freedom Academy,7921 US 158,Reidsville,NC,27320,"7921 US 158 Reidsville, NC 27320",7921 US 158,Reidsville,NC,27320,(336) 865-0728,Office@freedomacademypats.com,www.freedomacademypats.com,Alyson Gunn Walker,36.32320397,-79.71395965
Freedom Christian Academy,2401 Eric Lane Suite 102,Burlington,NC,27215,"2401 Eric Lane Suite 102 Burlington, NC 27215",NA,NA,NC,NA,(336) 494-8490,j.livers@fca-eagles.com,NA,Kevin  Bowman,36.06515242,-79.47830625
French Broad River Academy,1990 Riverside Drive (boys campus),Asheville,NC,28804,"1990 Riverside Drive (boys campus) Asheville, NC 28804",1420 Riverside Drive (girls campus),Asheville,NC,28804,(828) 348-4320,office@fbriveracademy.org,www.fbra-avl.org,Will  Yeiser,35.63991507,-82.59704285
Friends School,5814 Camellia Lane,Wilmington,NC,28409,"5814 Camellia Lane Wilmington, NC 28409",5814 Camellia Lane,Wilmington,NC,28409,(910) 792-1811,info@fsow.org,www.fsow.org,Ms. Brenda  Esch,34.20543098,-77.84712622
Friendship Christian School,5510 Falls of Neuse Road,Raleigh,NC,27609,"5510 Falls of Neuse Road Raleigh, NC 27609",5510 Falls of Neuse Road,Raleigh,NC,27609,(919) 872-2133,fcsmail@friendshipchristian.net,www.friendshipchristian.net,Mr. David  McClain,35.8568908,-78.61583335
Friendship Day Sch. for Sci. & the Arts,3400 Beatties Ford Road,Charlotte,NC,28216,"3400 Beatties Ford Road Charlotte, NC 28216",3400 Beatties Ford Road,Charlotte,NC,28216,(704) 391-6674,dayschool@friendshipcharlotte.org,www.friendshipdayschoolcharlotte.org,Linda  Comer,35.28082724,-80.85646698
Friends-Montessori School,94 Justice Ridge Road,Candler,NC,28715,"94 Justice Ridge Road Candler, NC 28715",23 Community Road,Woodfin,NC,28804,(423) 388-5393,carabeth@friends-montessori.org,www.friends-montessori.org,Cara Beth  Brackins,35.5455658,-82.697342
Fusion Academy and Learning Center - Charlotte,3540 Toringdon Way  Suite 100,Charlotte,NC,28277,"3540 Toringdon Way  Suite 100 Charlotte, NC 28277",3540 Toringdon Way  Suite 100,Charlotte,NC,28277,(980) 265-3221,aatchley@fusionacademy.com,https://www.fusionacademy.com/campuses/charlotte/?,Alane  Atchley,35.06836092,-80.8407029
Fusion Academy and Learning Center - Raleigh,2418 Blue Ridge Road Suite 200,Raleigh,NC,27607,"2418 Blue Ridge Road Suite 200 Raleigh, NC 27607",2418 Blue Ridge Road Suite 200,Raleigh,NC,27607,(919) 635-8915,lavery@fusionacademy.com,https://www.fusionacademy.com/campuses/raleigh/?cr,Lauren  Avery,35.81347886,-78.70546043
Galilee Christian Academy,101 E Park Avenue,Lexington,NC,27292,"101 E Park Avenue Lexington, NC 27292",101 E Park Avenue,Lexington,NC,27292,(336) 225-7584,powell.wade@yahoo.com,NA,Mr. Daniel  Sneed,35.73606053,-80.19722325
Garnett Christian Academy,4747 Lake Wilson Road,Elm City,NC,27822,"4747 Lake Wilson Road Elm City, NC 27822",4747 Lake Wilson Road,Elm City,NC,27822,(252) 237-8668,garnettchristianacademy@yahoo.com,www.gcaelmcity.org,Nathan  Roberts,35.79063397,-77.91462676
Gaston Christian - East Cleveland Campus,1625 Lowell Bethesda Road  Gaston Christian School,Gastonia,NC,28056,"1625 Lowell Bethesda Road  Gaston Christian School Gastonia, NC 28056",105 E. Ridge Street,Kings Mountain,NC,28086,(704) 349-5025,vahearn@gastonchristian.org,www.gastonchristian.org,Nancy  Roach,35.25258144,-81.09671377
Gaston Christian School,1625 Lowell Bethesda Road,Gastonia,NC,28056,"1625 Lowell Bethesda Road Gastonia, NC 28056",1625 Lowell Bethesda Road,Gastonia,NC,28056,(704) 349-5020,nroach@gastonchristian.org,www.gastonchristian.org,Dr. Marc T. Stout,35.25258144,-81.09671377
Gateway Academy Child Development,3200 McKee Road,Charlotte,NC,28270,"3200 McKee Road Charlotte, NC 28270",3200 McKee Road,Charlotte,NC,28270,(704) 847-0046,mckee@gatewayacademy.com,WWW.GATEWAYACADEMY.COM,Andrea  Cummings,35.07714747,-80.74137497
Gateway Christian School,10781 NC 50 North,Benson,NC,27504,"10781 NC 50 North Benson, NC 27504",10781 NC 50 North,Benson,NC,27504,(919) 894-5936,carolyn.currin@gmail.com,NA,Mr. Durwood  Young,35.51846518,-78.57928972
Genesis Academy,428 Georges Fork Road,Burnsville,NC,28714,"428 Georges Fork Road Burnsville, NC 28714",428 Georges Fork Road,Burnsville,NC,28714,(828) 536-4819,genesisacademy@hotmail.com,NA,Mrs. Marsha  McKinney,35.9089496,-82.25918407
Genesis Christian School,6917 Raeford Rd.,FAYETTEVILLE,NC,28304,"6917 Raeford Rd. FAYETTEVILLE, NC 28304",1713 Royal Gorge Rd.,Fayetteville,NC,28304,(910) 568-5685,info@GLAcademyNC.com,www.GCSJaguars.com,Tre'vone  McNeill,35.03688755,-79.01045312
Georgetown village minded acad,1239-300 Hargett Street,Jacksonville,NC,28540,"1239-300 Hargett Street Jacksonville, NC 28540",1239 Hargett Street,Jacksonville,NC,28540,(910) 939-2122,stacey.owens@georgetownvma.com,www.georgetownvma.com,stacey lynne owens-howard,34.7507209,-77.41361195
Gethsemane Christian SDA Jr. Acad.,2523 Sanderford Road,Raleigh,NC,27610,"2523 Sanderford Road Raleigh, NC 27610",2523 Sanderford Road,Raleigh,NC,27610,(919) 833-1844,info@gethsemanesdaschool.org,www.gethsemanesdaschool.org,Ms. Jennifer  Mabry,35.7455895,-78.61377575
Gift of Knowledge Academy,2722 East Main St,Durham,NC,27703,"2722 East Main St Durham, NC 27703",2722 East Main St,Durham,NC,27703,(919) 818-8181,debogift@yahoo.com,www.giftofknowledgeacademy.org,Deborah  Watkins,35.98688068,-78.86761352
Global Montessori Academy,6453 NC Hwy 55,Durham,NC,27713,"6453 NC Hwy 55 Durham, NC 27713",6453 NC Hwy 55,Durham,NC,27713,(919) 345-5896,mary@globalmontessori.org,www.globalmontessori.org,Mrs. Mary  Opatha,35.86908174,-78.89193144
Goddard School,10550 Little Brier Creek Lane,Raleigh,NC,27617,"10550 Little Brier Creek Lane Raleigh, NC 27617",10550 Little Brier Creek Lane,Raleigh,NC,27617,(919) 572-0678,raleigh1nc@goddardschools.com,www.goddardschools.com,Kruti  Desai,35.91455081,-78.79007448
Good Shepherd Christian School,13110 Moss Rd,Charlotte,NC,28273,"13110 Moss Rd Charlotte, NC 28273",13110 Moss Rd,Charlotte,NC,28273,(704) 588-3309,jamiehowell@gscharlotte.org,www.GoodShepherdChristian.school,Jamie Simmons Howell,35.11617192,-80.96295801
Gorman Christian Academy,3311 East Geer Street,Durham,NC,27704,"3311 East Geer Street Durham, NC 27704",3315 East Geer Street,Durham,NC,27704,(919) 688-2567,arinaldi@gormanca.org,www.gormanchristian.org,Amy  Rinaldi,36.04281513,-78.81519559
Gospel Light Academy,11572 Troutman Rd.,Midland,NC,28107,"11572 Troutman Rd. Midland, NC 28107",12021 Flowes Store Road,Midland,NC,28107,(980) 254-0418,glamidland@gmail.com,NA,Daniel  Ilnitskiy,35.25803497,-80.53032296
Grace Academy,3645 Pleasant Plains Rd,Matthews,NC,28104,"3645 Pleasant Plains Rd Matthews, NC 28104",3645 Pleasant Plains Road,Matthews,NC,28104,(704) 234-0292,graceacademy@graceacademync.com,www.graceacademync.com,Mr. Bob  Daniel,35.08433204,-80.70121037
Grace Christian Academy,420 Branch Street,Kings Mountain,NC,28086,"420 Branch Street Kings Mountain, NC 28086",420 Branch Street,Kings Mountain,NC,28086,(704) 734-0509,gracechristian1990@hotmail.com,www.gracechristiankm.com,Stephanie  Chambers,35.24632768,-81.33210315
Grace Christian Academy,415 Roxboro Street,Haw River,NC,27258,"415 Roxboro Street Haw River, NC 27258",415 Roxboro Street,Haw River,NC,27258,(336) 578-0291,admin@gcachargers.com,www.gca-nc.com,Bill  George,36.09993706,-79.35228612
Grace Community School,415 Thorncliff Drive,Fayetteville,NC,28303,"415 Thorncliff Drive Fayetteville, NC 28303",3744 Legion Road,Hope Mills,NC,28348,(910) 309-0161,cameronflorio@gmail.com,NA,Cameron Henrickson Floiro,35.05924665,-78.93288224
Grace Covenant Academy,17301 Statesville Road,Cornelius,NC,28031,"17301 Statesville Road Cornelius, NC 28031",17301 Statesville Road,Cornelius,NC,28031,(704) 892-5601,rlandis@gracecovenant.org,www.gracecovenant.org,Rich  Landis,35.45099939,-80.86708972
Grace Point Christian Academy,5934 Surrett Drive,Archdale,NC,27263,"5934 Surrett Drive Archdale, NC 27263",5934 Surrett Dr.,Archdale,NC,27263,(336) 688-5217,gracepointgpca@gmail.com,Gracepointgpca.com,Malinda  Lewis,35.90140038,-80.00012917
Gramercy Christian School,8170 Highway 70,Newport,NC,28570,"8170 Highway 70 Newport, NC 28570",8170 Highway 70,Newport,NC,28557,(252) 223-5199,gcswithee@gmail.com,www.gramercychristian.org,Kara  Withee,34.82860112,-76.87741742
Great Accomplishments Acad.,3011 NC Hwy 42 W  Ste 138,Wilson,NC,27893,"3011 NC Hwy 42 W  Ste 138 Wilson, NC 27893",2301 Montgomery Drive  Wilson NC  27893,Wilson,NC,27896,(252) 360-9338,tblackmond420@gaautismacademy.com,www.gaautismacademy.com,Ms. Tonya  Blackmond,35.7197588,-77.95248973
Greater Destiny Academy,1520 Martin Street 106,Winston Salem,NC,27103,"1520 Martin Street 106 Winston Salem, NC 27103",NA,NA,NA,NA,(743) 444-7646,info@greaterdestinyacademy.org,NA,Tommy Lee Moss Jr,36.0696002,-80.27606189
Greater Destiny Prep Academy,7465 Pitt Street,Grimesland,NC,27837,"7465 Pitt Street Grimesland, NC 27837",4371 US 264,Washington,NC,27889,(252) 350-2015,info@greater-destiny.org,www.greater-destiny.org,Heather  Collins,35.56512921,-77.19552032
Greater Fayetteville Adventist Acad.,2601 Lone Pine Drive,Fayetteville,NC,28306,"2601 Lone Pine Drive Fayetteville, NC 28306",2601 Lone Pine Drive,Fayetteville,NC,28306,(910) 484-6091,secretary.gfaa@outlook.com,www.gfaaeagles.org,Mrs. Shakuntala  Ramsarran,35.01993196,-78.90722946
Greater Vision Academy,485 Brightwood Church Road,Gibsonville,NC,27249,"485 Brightwood Church Road Gibsonville, NC 27249",485 Brightwood Church Road,Gibsonville,NC,27249,(336) 512-4766,trevsam@embarqmail.com,www.greatervisionnc.com,Mrs. Shanna  Summers,36.07360541,-79.58343792
Greenfield School,3351 NC Hwy 42 West,Wilson,NC,27893,"3351 NC Hwy 42 West Wilson, NC 27893",3351 NC Hwy 42 W,Wilson,NC,27893,(252) 237-8046,deb.rogers@greenfieldschool.org,www.greenfieldschool.org,Debra  Benson-Rogers,35.72086361,-77.9643921
Greensboro Day School,5401 Lawndale Drive,Greensboro,NC,27455,"5401 Lawndale Drive Greensboro, NC 27455",5401 Lawndale Dr,Greensboro,NC,27455,(336) 288-8590,gailbernstein@greensboroday.org,www.greensboroday.org,Ms. Tracie  Catlett,36.15234031,-79.83589645
Greensboro Islamic Academy,900 16th Street,Greensboro,NC,27405,"900 16th Street Greensboro, NC 27405",900 16th Street,Greensboro,NC,27405,(336) 285-7766,kjbherrington@gmail.com,www.gianc.org,Kathleen  Herrington,36.10911225,-79.77834114
Greensboro Montessori School,2856 Horse Pen Creek Rd.,Greensboro,NC,27410,"2856 Horse Pen Creek Rd. Greensboro, NC 27410",2856 Horse Pen Creek Rd.,Greensboro,NC,27410,(336) 668-0119,kevin.navarro@thegms.org,www.gms.org,Mr. Kevin  Navarro,36.13209746,-79.88689566
Greenville Christian Academy,1621 Greenville Blvd.  S.W.,Greenville,NC,27834,"1621 Greenville Blvd.  S.W. Greenville, NC 27834",1621 Greenville Blvd.  S.W.,Greenville,NC,27834,(252) 756-0939,gcanc@greenvillechristian.com,www.greenvillechristian.com,Mr. Dave  Weaver,35.57554109,-77.42356995
Greenville Montessori School,822 Laurie Ellis Road,Winterville,NC,28590,"822 Laurie Ellis Road Winterville, NC 28590",822 Laurie Ellis Road,Winterville,NC,28590,(252) 355-6268,office@greenvillemontessori.com,www.greenvillemontessori.com,Mrs. Lesley  Byrne-Steedly,35.51779049,-77.37745489
Greyfriars Classical Academy,2701 Rice Road,Matthews,NC,28105,"2701 Rice Road Matthews, NC 28105",2701 Rice Road,Matthews,NC,28105,(704) 315-5774,headmaster@greyfriarsclassical.org,www.greyfriarsclassical.org,Mr. John D. McGowan,35.13937524,-80.70351449
Grove School of Cary,2590 Laura Duncan Road,Cary,NC,27513,"2590 Laura Duncan Road Cary, NC 27513",2590 Laura Duncan Road,Cary,NC,27513,(919) 467-6494,Anneke.Braisted@kindercare.com,www.groveschool.com,Mrs. Anneke  Braisted,35.76385377,-78.82311458
Guidepost Montessori at Lake Norman,15115 Norman View Lane,Huntersville,NC,28078,"15115 Norman View Lane Huntersville, NC 28078",15115 Norman View Lane,Huntersville,NC,28078,(704) 885-5080,lmacartney@guidepostmontessori.com,NA,Laura  Macartney,35.44043179,-80.9000835
Halifax Academy,1400 Three Bridges Road,Roanoke Rapids,NC,27870,"1400 Three Bridges Road Roanoke Rapids, NC 27870",1400 Three Bridges Road,Roanoke Rapids,NC,27870,(252) 537-8527,apoole@halifaxacademy.org,www.halifaxacademy.org,Mr. Michael  Ferguson,36.39720099,-77.67217425
Hampton Education Academy,712 Runningbrook Lane,Rural Hall,NC,27045,"712 Runningbrook Lane Rural Hall, NC 27045",7820 North Point Blvd.  Suite 103,Winston Salem,NC,27106,(336) 582-4000,hamptoneduccllc@gmail.com,Hampton,De'Shaunda Anita Hampton,36.22054355,-80.30017156
Hanger Hall School for Girls,64 W.T. Weaver Blvd.,Asheville,NC,28804,"64 W.T. Weaver Blvd. Asheville, NC 28804",64 W.T. Weaver Blvd.,Asheville,NC,28804,(828) 258-3600,jennifers@hangerhall.org,www.hangerhall.org,Jennifer  Schoolfield,35.61419021,-82.55853252
Harvest Time Christian Acad.,400 Winston Street,Wilkesboro,NC,28697,"400 Winston Street Wilkesboro, NC 28697",400 Winston Street,Wilkesboro,NC,28697,(336) 667-9105,htca.school@yahoo.com,NA,Mr. Gene C. Shepherd,36.1517978,-81.1435361
Haw River Christian Academy,2428 Silk Hope Gum Springs Rd.,Pittsboro,NC,27312,"2428 Silk Hope Gum Springs Rd. Pittsboro, NC 27312",2428 Silk Hope Gum Springs Rd.,Pittsboro,NC,27312,(919) 414-7735,heather.baker@hawriverchristian.org,www.hawriverchristian.org,Heather  Baker,35.77096847,-79.27267445
Hawthorn Montessori School,871 Riverside Drive,Asheville,NC,28804,"871 Riverside Drive Asheville, NC 28804",871 Riverside Drive,asheville,NC,28804,(904) 476-3691,katie@hawthornmontessori.org,hawthornmontessori.org,Katie  Anderson,35.618805,-82.57593081
Hayworth Christian School,1696 Westchester Dr,High Point,NC,27262,"1696 Westchester Dr High Point, NC 27262",1696 Westchester Dr.,High Point,NC,27262,(336) 882-3126,michele.barker@hayworth.info,www.hayworth.info,Dr. Kenneth S. Lee,35.95126686,-80.033539
Headwaters Christian Academy,2659 S Chipley Ford Rd,STATESVILLE,NC,28625,"2659 S Chipley Ford Rd STATESVILLE, NC 28625",2659 S Chipley Ford Rd,STATESVILLE,NC,28625,(704) 876-1520,kim@southriverbaptist.com,headwaters-academy.com,Kimberley Sue Williams,35.85009825,-80.90426655
Heritage Christian Academy,615 Mack Todd Road,Zebulon,NC,27597,"615 Mack Todd Road Zebulon, NC 27597",615 Mack Todd Road,Zebulon,NC,27597,(919) 269-6915,office@hca-nc.org,www.hca-nc.org,Mr. Joel  Dupree,35.81674579,-78.32788213
